Type,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Qty sold
menuItem,INDOOR DRINKS,Classic Cocktails,,Manhattan,,,Liquor,15
menuItem,INDOOR DRINKS,Classic Cocktails,,Martini,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Mojito,,,Liquor,15
menuItem,INDOOR DRINKS,Classic Cocktails,,Moscow Mule,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Negroni,,,Liquor,5
menuItem,INDOOR DRINKS,Classic Cocktails,,Old Fashioned,,,Liquor,16
menuItem,INDOOR DRINKS,Classic Cocktails,,Paper Plane,,,Liquor,3
menuItem,INDOOR DRINKS,Classic Cocktails,,Sazerac,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,White Russian,,,Liquor,1
menuItem,INDOOR DRINKS,Classic Cocktails,,Paloma,,,Liquor,11
,INDOOR DRINKS,Tequila,,,,,,198
,INDOOR DRINKS,Tequila,Blanco,,,,,103
menuItem,INDOOR DRINKS,Tequila,Blanco,Well Tequila Gran Clásico Blanco,,,Liquor,52
menuItem,INDOOR DRINKS,Tequila,Blanco,Arette Suave Blanco,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Blanco,Calle 23 Blanco,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Blanco,Campo Azul 1940 blanco,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Blanco,Don Fulano Blanco,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Blanco,Don Julio Blanco,,,Liquor,9
menuItem,INDOOR DRINKS,Tequila,Blanco,El Tesoro Blanco,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Blanco,Fortaleza Blanco,,,Liquor,7
menuItem,INDOOR DRINKS,Tequila,Blanco,G4 Blanco,,,Liquor,3
menuItem,INDOOR DRINKS,Tequila,Blanco,Lalo Blanco,,,Liquor,10
menuItem,INDOOR DRINKS,Tequila,Blanco,Siete Leguas Blanco,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Blanco,Tapatio 110,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Blanco,Tapatio Blanco,,,Liquor,4
menuItem,INDOOR DRINKS,Tequila,Blanco,Tequila Ocho Plata,,,Liquor,8
,INDOOR DRINKS,Tequila,Reposado,,,,,85
menuItem,INDOOR DRINKS,Tequila,Reposado,Well Tequila Reposado,,,Liquor,29
menuItem,INDOOR DRINKS,Tequila,Reposado,Casa Noble  Reposado,,,Liquor,4
menuItem,INDOOR DRINKS,Tequila,Reposado,Chamucos Reposado,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Reposado,Don Julio Reposado,,,Liquor,8
menuItem,INDOOR DRINKS,Tequila,Reposado,El Tesoro Reposado,,,Liquor,4
menuItem,INDOOR DRINKS,Tequila,Reposado,Espolon Reposado,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Reposado,Excellia Reposado,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Reposado,Fortaleza Reposado,,,Liquor,17
menuItem,INDOOR DRINKS,Tequila,Reposado,G4 Reposado,,,Liquor,3
menuItem,INDOOR DRINKS,Tequila,Reposado,Siete Leguas Reposado,,,Liquor,6
menuItem,INDOOR DRINKS,Tequila,Reposado,Tapatio Reposado,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Reposado,Tequila Ocho Reposado,,,Liquor,6
menuItem,INDOOR DRINKS,Tequila,Reposado,Campo Azul 1940 Reposado,,,Liquor,1
,INDOOR DRINKS,Tequila,Anejo,,,,,10
menuItem,INDOOR DRINKS,Tequila,Anejo,ArteNOM Anejo,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Anejo,Don Julio Anejo,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Anejo,El Tesoro Anejo,,,Liquor,1
menuItem,INDOOR DRINKS,Tequila,Anejo,Siete Leguas Anejo,,,Liquor,2
menuItem,INDOOR DRINKS,Tequila,Anejo,Tequila Ocho Anejo,,,Liquor,4
,INDOOR DRINKS,Mezcal,,,,,,79
menuItem,INDOOR DRINKS,Mezcal,,Well Mezcal Rayu,,,Liquor,23
menuItem,INDOOR DRINKS,Mezcal,,Banhez Tobala,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Bozal Chino Verde,,,Liquor,3
menuItem,INDOOR DRINKS,Mezcal,,Bruxo #2,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Del Maguey Chichicapa,,,Liquor,8
menuItem,INDOOR DRINKS,Mezcal,,Del Maguey Santo Domingo,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Del Maguey Vida Espadin,,,Liquor,3
menuItem,INDOOR DRINKS,Mezcal,,Don Amado Rustico,,,Liquor,2
menuItem,INDOOR DRINKS,Mezcal,,Don Mateo Los Altos,,,Liquor,2
menuItem,INDOOR DRINKS,Mezcal,,Don Mateo Cupreata,,,Liquor,2
menuItem,INDOOR DRINKS,Mezcal,,El Mero Mero Espadin,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,El Mero Mero Tepextate,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Espina Negra Tobala,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Fidencio Pechuga,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Los Nahuales Añejo,,,Liquor,1
menuItem,INDOOR DRINKS,Mezcal,,Marca Negra Espadin,,,Liquor,2
menuItem,INDOOR DRINKS,Mezcal,,Montelobos Tobala,,,Liquor,4
menuItem,INDOOR DRINKS,Mezcal,,Rey Campero Espadin,,,Liquor,6
